id,dist,mag,absmag,spect,x,y,z
329592,326.443,8.61,1.041,A0,81.127,201.517,243.669
329596,45.3857,6.8,3.515,F5,13.528,33.605,27.341
329613,257.8364,9.28,2.223,A1 V,93.584,232.493,-60.569
329618,706.0476,9.23,-0.014,M0,249.635,620.202,-227.012
329633,682.1509,8.76,-0.409,K1/2 III,220.312,547.452,-342.183
329672,211.6402,9.17,2.542,G0 V,56.8578,141.3437,-146.9038
329682,36.0415,7.61,4.826,G5 V,13.397,33.309,-3.166
329685,170.4666,10.58,4.422,G0,60.422,150.228,53.289
329688,114.9189,7.44,2.138,A2,38.804,96.483,48.904
329706,627.4521,9.34,0.352,B8,169.182,420.725,433.664
329729,374.9641,8.87,1,K2,137.453,341.923,69.232
329743,231.1154,7.26,0.441,B8 V,86.183,214.409,3.953
329762,121.3893,8.81,3.389,F5,35.272,87.768,76.079
329768,46.8818,11,7.645,K0,17.025,42.366,10.636
329787,370.9593,8.11,0.263,K1 III,132.067,328.7,-110.115
329837,296.5537,8.63,1.269,B8,78.662,195.883,208.294
329839,495.6028,8.32,-0.156,M2 III,175.904,438.033,-151.019
329844,218.0625,9.18,2.487,F5 V,45.472,113.238,-180.723
329846,235.8582,8.8,1.937,G6 IV,37.347,93.006,-213.504
329877,47.9002,11.03,7.628,M0V:,17.799,44.336,3.458
329888,65.4271,8.54,4.461,F8 V,13.55,33.754,-54.385
329903,164.528,9.12,3.039,G0,49.429,123.156,97.257
329921,361.8975,7.86,0.067,A0,95.459,237.898,255.464
329971,808.3565,8.37,-1.168,M2 III,229.788,572.984,-521.849
330006,358.0216,8.81,1.04,K2 III,96.741,241.314,-246.147
330020,169.6125,5.76,-0.387,Ap Si,63.009,157.188,-9.496
330024,179.0991,8.01,1.745,A5 III,60.29,150.4142,-76.2702
330052,109.4221,10.93,5.734,G5,39.777,99.272,23.154
330088,413.3222,9.16,1.079,G6 III,97.822,244.198,-318.8
330091,417.317,8.7,0.598,B 8 III,132.447,330.641,217.457
330099,39.9631,10.89,7.882,K5,12.3,30.706,22.425
330111,202.0487,9.42,2.893,K1/2 III,46.501,116.109,-158.683
330136,326.7396,9.79,2.219,F0 V,82.505,206.056,-239.777
330144,87.9863,8.17,3.448,F0/2 V,18.4782,46.1519,-72.5961
330165,660.3408,9.04,-0.059,B8,123.17,307.715,571.131
330220,318.3054,8.37,0.856,G8WG0,49.493,123.722,-289.07
330238,146.8832,9.77,3.935,F6/7 V,36.697,91.756,-108.668
330375,179.7118,8.72,2.447,F8,65.041,162.889,39.156
330377,419.0839,8.74,0.628,K2,129.709,324.851,230.822
330403,210.2056,8.52,1.907,A5/7 IV,77.934,195.224,-0.553
330404,195.6756,8.17,1.712,A0 V,60.7751,152.2441,-106.8496
330408,240.1325,8.07,1.168,K0 III,72.297,181.107,-140.132
