2894,261.696,7.98,0.891,G 9 III,131.08,1.188,226.498
2898,594.1615,10.16,1.29,AP SR(CR),549.593,4.985,-225.722
2911,107.6948,8.86,3.699,G3 V,59.415,0.541,-89.821
2944,305.1966,8.58,1.157,B9,236.557,2.179,192.824
2988,15.328,9.24,8.313,M0V,5.672,0.053,-14.24
2998,251.7514,9.63,2.625,F5 V,235.221,2.207,-89.693
3023,12.3185,5.8,5.347,G3V,10.9673,0.1043,5.6076
3026,1081.3019,9.05,-1.12,O7,415.365,3.936,998.334
3072,330.6581,8.45,0.853,A2,223.05,2.14,244.087
3087,381.0653,8.86,0.955,G 9 II-III,190.723,1.836,329.897
3094,283.417,7.84,0.578,G5,183.034,1.765,216.38
3103,263.9482,8.86,1.752,K0,188.484,1.821,184.768
3138,203.8176,8.93,2.384,A1MA5/7-A8,199.381,1.95,-42.252
3178,110.7405,7.97,2.748,F7 V,98.547,0.977,-50.508
3189,62.1194,6.9,2.934,G0 V,60.423,0.601,-14.404
3194,389.0348,8.47,0.52,K2 III/IV,384.039,3.827,-62.031
3217,387.7158,6.77,-1.173,M0,189.713,1.9,338.125
3248,425.9108,8.55,0.403,K0,258.755,2.625,338.288
3262,207.3226,5.04,-1.543,B3/5 V,180.0405,1.8326,-102.7846
3303,33.7964,8.48,5.836,K0,33.173,0.341,6.452
3306,99.2103,8.53,3.547,F8,97.4524,1.0036,18.5655
3370,123.7926,6.33,0.867,A 6 V,122.276,1.282,19.273
3381,130.4046,8.99,3.414,F5 V,129.669,1.363,-13.765
3384,102.8245,8.64,3.58,F5,102.191,1.075,11.342
3394,316.4626,9.55,2.048,A3,185.397,1.958,256.462
3395,87.4891,8.74,4.03,G0,85.941,0.908,16.358
3424,36.9501,12.43,9.592,M3,25.6532,0.2744,-26.593
3461,301.563,8.16,0.763,G5,298.315,3.227,44.021
3471,261.2275,9.46,2.375,G8/K0 III,202.389,2.196,-165.148
3482,37.5561,5.7,2.827,F 2 V A,37.143,0.404,5.542
3493,113.1406,7.62,2.352,F8,76.544,0.836,83.313
